OBJECTID,linkid,description,site_origin,site_destination,direction
57218,2498,"Pickles St, Dorcas St to Beach St",4915,3010,SB
57219,2499,"Drocas St, Pickles St to Ferrars St",4915,4899,EB
57220,2500,"Dorcas St, Ferrars St to Pickles St",4899,4915,WB
57221,2501,"York St, Ferrars St to Clarendon St",4897,4892,EB
57222,2502,"York St, Clarendon St to Ferrars St",4892,4897,WB
57223,2503,"York St, Clarendon St to Kings Way",4892,2400,EB
57224,2504,"York St, Kings Way to Clarendon St",2400,4892,WB
57225,2505,"Blackburn Rd, Coleman Pde to Waverley Rd",359,360,SB
57226,2506,"Blackburn Rd, Waverley Rd to Coleman Pde",360,359,NB
57227,2507,"Settlement Rd, Wood St to Plenty Rd",2765,3736,EB
57228,2508,"Settlement Rd, Plenty Rd to Wood St",3736,2765,WB
57229,2509,"Settlement Rd, High St to Wood St",3230,2765,EB
57230,2510,"Settlement Rd, Wood St to High St",2765,3230,WB
57231,2511,"High St, Keon Pde to Settlement Rd",3229,3230,NB
57232,2512,"High St, Settlement Rd to Keon Pde",3230,3229,SB
57233,2513,"High St, Settlement Rd to Kingsway Dr",3230,3233,NB
57234,2514,"High St, Kingsway Dr to Settlement Rd",3233,3230,SB
57235,2515,"Dalton Rd, The Boulevard to Cooper St",4994,1310,NB
57236,2516,"Dalton Rd, Cooper St to The Boulevard",1310,4994,SB
57237,2517,"Dalton Rd, Metropolitan Ring Rd to The Boulevard",3744,4994,NB
57238,2518,"Dalton Rd, The Boulevard to Metropolitan Ring Rd",4994,3744,SB
57239,2519,"High Street Rd, Springvale Rd to Capital Rd",422,365,EB
57240,2520,"High Street Rd, Capital Rd to Springvale Rd",365,422,WB
57241,2521,"High Street Rd, Capital Rd to Eastlink",365,1105,EB
57242,2522,"High Street Rd, Eastlink to Capital Rd",1105,365,WB
57243,2523,"Springvale Rd, High Street Rd to Coleman Pde",422,423,SB
57244,2524,"Springvale Rd, Coleman Pde to High Street Rd",423,422,NB
57245,2525,"Springvale Rd, Coleman Pde to Waverley Rd",423,426,SB
57246,2527,"Wellington Rd, Springvale Rd to Wanda St",432,489,EB
57247,2528,"Wellington Rd, Wanda St to Springvale Rd",489,432,WB
57248,2529,"Wellington Rd, Wanda St to Jells Rd",489,492,EB
57249,2530,"Wellington Rd, Jells Rd to Wanda St",492,489,WB
57250,2531,"Lower Plenty Rd/Main Rd, Greensborough Rd to Para Rd",3333,719,EB
57251,2532,"Lower Plenty Rd/Main Rd, Para Rd to Greensborough Rd",719,3333,WB
57252,2533,"Main Rd, Para Rd to Panorama Ave",719,718,EB
57253,2534,"Main Rd, Panorama Ave to Para Rd",718,719,WB
57254,2535,"Bridge Rd, Punt Rd to Lennox St",3390,4800,EB
57255,2536,"Bridge Rd, Lennox St to Punt Rd",4800,3390,WB
57256,2537,"Bridge Rd, Lennox St to Church St",4800,4801,EB
57257,2538,"Bridge Rd, Church St to Lennox St",4801,4800,WB
57258,2539,"Bridge Rd, Church St to Coppin St",4801,4803,EB
57259,2540,"Bridge Rd, Coppin St to Church St",4803,4801,WB
57260,2541,"Bridge Rd, Coppin St to Burnley St",4803,4805,EB
57261,2542,"Bridge Rd, Burnley St to Coppin St",4805,4803,WB
