OBJECTID,linkid,description,site_origin,site_destination,direction
57992,3278,"Centre Rd, Thomas St to Wheatley St",3959,3443,EB
57993,3279,"Centre Rd, Wheatley St to Thomas St",3443,3959,WB
57994,3280,"Mickleham Rd, Somerton Rd to Barrymore Rd",4972,2854,SB
57995,3281,"Mickleham Rd, Barrymore Rd to Somerton Rd",2854,4972,NB
57996,3282,"Mickleham Rd, Amira Blvd to Somerton Rd",2993,4972,SB
57997,3283,"Mickleham Rd, Somerton Rd to Amira Blvd",4972,2993,NB
57998,3284,"Elizabeth St, Murray Rd to Bell St",4119,3056,SB
57999,3285,"Elizabeth St, Bell St to Murray Rd",3056,4119,NB
58000,3286,"Melbourne Rd, Bell Pde to Glenleith Ave",5015,5016,SB
58001,3287,"Melbourne Rd, Glenleith Ave to Bell Pde",5016,5015,NB
58002,3288,"Seperation St, Thompsons St to Dunn St",5098,5101,EB
58003,3289,"Seperation St, Dunn St to Thompsons St",5101,5098,WB
58004,3290,"Narre Warren-North Rd, Magid Dr to Ernst Wanke Rd",403,401,NB
58005,3291,"Narre Warren-North Rd, Ernst Wanke Rd to Magid Dr",401,403,SB
58006,3292,"Narre Warren-North Rd, Ernst Wanke Rd to Heatherton Rd",401,519,NB
58007,3293,"Narre Warren-North Rd, Heatherton Rd to Ernst Wanke Rd",519,401,SB
58008,3294,"Heatherton Rd, Robinson Rd to Hanna Dr",519,613,WB
58009,3296,"Hallam Rd North, Monash Fwy to Belgrave-Hallam Rd",512,557,NB
58010,3297,"Hallam Rd North, Belgrave-Hallam Rd to Monash Fwy",557,512,SB
58011,3298,"Hallam Rd North, Belgrave-Hallam Rd to Hanna Dr",557,613,NWB
58012,3299,"Hallam Rd North, Hanna Dr to Belgrave-Hallam Rd",613,557,SEB
58013,3300,"Hallam Rd North, Robinson Rd to Belgrave-Hallam Rd",519,557,SWB
58014,3301,"Hallam Rd North, Belgrave-Hallam Rd to Robinson Rd",557,519,NEB
58015,3302,"Fullard Rd, Shrives Rd to Narre Warren-Cranbourne Rd",397,533,EB
58016,3303,"Fullard Rd, Narre Warren-Cranbourne Rd to Shrives Rd",533,397,WB
58017,3304,"Narre Warren-Cranbourne Rd, to PHE to Fullard Rd",604,533,SB
58018,3305,"Narre Warren-Cranbourne Rd, Fullard Rd to PHE",533,604,NB
58019,3306,"Narre Warren-Cranbourne Rd, Fullard Rd to Greaves Rd",533,3174,SB
58020,3307,"Narre Warren-Cranbourne Rd, Greaves Rd to Fullard Rd",3174,533,NB
58021,3308,"Manningham Rd, Bulleen Rd ot Derreck Ave",686,684,EB
58022,3309,"Manningham Rd, Derreck Ave to Bulleen Rd",684,686,WB
58023,3310,"Heatherton Rd, Springvale Rd to Corrigan Rd",438,929,EB
58024,3311,"Heatherton Rd, Corrigan Rd to Chandler Rd",929,438,WB
58025,3313,"Heatherton Rd, Chandler Rd to Corrigan Rd",656,929,WB
58026,3314,"Mickleham/Craigieburn Rd West, Amira Blvd to Vantage Blvd",2993,1363,NEB
58027,3315,"Mickleham/Craigieburn Rd West, Vantage Blvd to Amira Blvd",1363,2993,SWB
58028,3316,"Hume Hwy, Craigieburn Rd West to Amaroo Rd",2184,2185,SB
58029,3317,"Hume Hwy, Amaroo Rd to Craigieburn Rd West",2185,2184,NB
58030,3318,"Epsom Rd, Ballarat Rd to Langs Rd",2501,1002,NB
58031,3319,"Epsom Rd, Langs Rd to Ballarat Rd",1002,2501,SB
58032,3320,"Langs Rd/Fisher Pde, Epsom Rd to Cumberland Dr",1002,3437,SB
58033,3321,"Langs Rd/Fisher Pde, Cumberland Dr to Epsom Rd",3437,1002,NB
58034,3322,"Farnsworth Ave, Cumberland Dr to Ballarat Rd",3437,2602,SB
58035,3323,"Farnsworth Ave, Ballarat Rd to Cumberland Dr",2602,3437,NB
58036,3324,"Ascoe Vale Rd, Maribyrnong Rd to Racecourse Rd",4205,2500,SB
58037,3325,"Ascoe Vale Rd, Racecourse Rd to Maribyrnong Rd",2500,4205,NB
58038,3326,"Bell St, High St to Plenty Rd",3060,3061,EB
58039,3327,"Bell St, Plenty Rd to High St",3061,3060,WB
58040,3328,"Bell St, Plenty Rd to Albert St",3061,3064,EB
58041,3329,"Bell St, Albert St to Plenty Rd",3064,3061,WB
58042,3330,"Upper Heidelberg Rd, Lower Plenty Rd to Burgundy St",3330,3069,SB
58043,3331,"Upper Heidelberg Rd, Burgundy St to Lower Plenty Rd",3069,3330,NB
58044,3332,"Upper Heidelberg Rd, Burgundy St to Bell-Kansai Link",3069,2944,SB
58045,3333,"Upper Heidelberg Rd, Bell-Kansai Link to Burgundy St",2944,3069,NB
58046,3334,"Burgundy St, Upper Heidelberg Rd to Rosanna Rd",3069,3072,EB
58047,3335,"Burgundy St, Rosanna Rd to Upper Heidelberg Rd",3072,3069,WB
58048,3336,"Bell St, Waterdale Rd to Upper Heidelberg Rd",3067,3069,EB
58049,3337,"Bell St, Upper Heidelberg Rd to Waterdale Rd",3069,3067,WB
58050,3338,"Princess St, Earl St to Willsmere Rd",2820,3620,SB
58051,3340,"Princess St, Willsmere Rd to High St",3620,3662,SB
58052,3341,"Princess St, High St to Willsmere Rd",3662,3620,NB
58053,3342,"Studley Park Rd, Princess St to Carson St",3662,3661,WB
58054,3343,"Studley Park Rd, Carson St to Princess St",3661,3662,EB
58055,3344,"Studley Park Rd, Carson St to Johnston St",3661,3449,WB
58056,3345,"Studley Park Rd, Johnston St to Carson St",3449,3661,EB
58057,3346,"Mannington Rd, Derrect St to Thompsons Rd",684,680,EB
58058,3347,"Mannington Rd, Thompsons Rd to Derreck St",680,684,WB
58059,3348,"McDonalds Rd, Ferres Blvd to Plenty Rd",3897,3946,EB
58060,3349,"McDonalds Rd, Plenty Rd to Ferres Blvd",3946,3897,WB
58061,3350,"Highbury Rd, Huntingdale Rd to Station St",3935,3937,EB
58062,3351,"Highbury Rd, Station St to Huntingdale Rd",3937,3935,WB
58063,3352,"Highbury Rd, Warrigal Rd to Huntingdale Rd",3685,3935,EB
58064,3353,"Highbury Rd, Huntingdale Rd to Warrigal Rd",3935,3685,WB
58065,3354,"Huntingdale Rd, Highbury Rd to High Street Rd",3935,463,SB
58066,3355,"Huntingdale Rd, High Street Rd to Highbury Rd",463,3935,NB
58067,3356,"Station St, Riversdale Rd to Eley Rd",3930,3941,SB
58068,3357,"Station St, Eley Rd to Riversdale Rd",3941,3930,NB
58069,3358,"Station St, Eley Rd to Burwood Hwy",3941,2006,SB
58070,3359,"Station St, Burwood Hwy to Eley Rd",2006,3941,NB
58071,3360,"Gordon St, Barkly St to Ballarat Rd",4240,2603,NB
58072,3361,"Gordon St, Ballarat Rd to Barkly St",2603,4240,SB
58073,3362,"Waiora Rd, Southern Rd to Lower Plenty Rd",4297,3330,SB
58074,3363,"Waiora Rd, Lower Plenty Rd to Southern Rd",3330,4297,NB
58075,3364,"Manningham Rd, Bulleen Rd to Bridge St",686,683,NB
58076,3365,"Manningham Rd, Bridge St to Bulleen Rd",683,686,SB
58077,3366,"Manningham Rd, Bridge St to Lower Heidelberg Rd",683,3360,WB
58078,3367,"Manningham Rd, Lower Heidelberg Rd to Bridge St",3360,683,EB
58079,3368,"Rosanna Rd, Lower Plenty Rd to Station Rd",3332,2941,SB
58080,3369,"Rosanna Rd, Station Rd to Lower Plenty Rd",2941,3332,NB
58081,3370,"Rosanna Rd, Station Rd to Burgundy St",2941,3072,SB
58082,3371,"Rosanna Rd, Burgundy St to Station Rd",3072,2941,NB
58083,3372,"Rosanna Rd, Burgundy St to Banksia St",3072,3360,SB
58084,3373,"Rosanna Rd, Banksia St to Burgundy St",3360,3072,NB
58085,3374,"Baillie St, Firebrace St to  McPherson St",6404,6407,EB
58086,3375,"Baillie St, McPherson St to Firebrace St",6407,6404,WB
58087,3376,"McPherson St, Baillie St to Wilson St",6407,6400,SB
58088,3377,"McPherson St, Wilson St to Baillie St",6400,6407,NB
58089,3378,"Wilson St, McPherson St to Firebrace St",6400,6421,WB
58090,3379,"Wilson St, Firebrace St to McPherson St",6421,6400,EB
58091,3380,"Firebrace St, Wilson St to Baillie St",6421,6404,NB
58092,3381,"Firebrace St, Baillie St to Wilson St",6404,6421,SB
58093,3382,"Western Hwy, Firebrace St to Wawunna Rd",6404,6409,WB
58094,3383,"Western Hwy, Wawunna Rd to Firebrace St",6409,6404,EB
58095,3384,"McPherson St/Stawell Rd, Wilson St to Williams Rd",6400,6408,SB
58096,3385,"McPherson St/Stawell Rd, Williams Rd to Wilson St",6408,6400,NB
58097,3386,"Vincent St, Western Hwy to Barkly St",5999,5840,SB
58098,3387,"Vincent St, Barkly St to Western Hwy",5840,5999,NB
58099,3388,"Oriel Rd, Banksia St to Livingston St",4302,4303,SB
58100,3389,"Oriel Rd, Livingston St to Banksia St",4303,4302,NB
58101,3390,"PHE, High St to Beaconsfield-Nar Nar Goon Rd",513,1234,SB
58102,3391,"PHE, Beaconsfield-Nar Nar Goon Rd to High St",1234,513,NB
58103,3392,"Sturt (Deakin Av) Hwy, Seventh St to Eleventh St",6206,6445,SB
58104,3393,"Sturt (Deakin Ave) Hwy, Eleventh St to Seventh St",6445,6206,NB
58105,3394,"Sturt (Deakin Av) Hwy, Eleventh St to Fourteenth St",6445,6449,SB
58106,3395,"Sturt (Deakin Av) Hwy, Fourteenth St to Eleventh St",6449,6445,NB
58107,3398,"Riversdale Rd, Trafalgar Rd to Westbourne Gr",3804,5329,EB
58108,3399,"Riversdale Rd, Westbourne Gr to Trafalgar Rd",5329,3804,WB
58109,3400,"Riversdale Rd, Westbourne Gr to Highfield Rd",5329,3808,EB
58110,3401,"Riversdale Rd, Highfield Rd to Westbourne Gr",3808,5329,WB
58111,3402,"Blackburn Rd, Hawthorn Rd to Highbury Rd",162,356,SB
58112,3403,"Blackburn Rd, Highbury Rd to Hawthorn Rd",356,162,NB
58113,3404,"Kingsbury Dr, Plenty Rd to Waterdale Rd",3734,4796,EB
58114,3405,"Kingsbury Dr, Waterdale Rd to Plenty Rd",4796,3734,WB
58115,3406,"Bacchus Marsh Rd, Princes Fwy to Purnell Rd",5134,5073,SB
58116,3407,"Bacchus Marsh Rd, Purnell Rd to Princes Fwy",5073,5134,NB
58117,3408,"PHW, Plantation Rd to Purnell Rd",5005,5006,SB
58118,3409,"PHW, Purnell Rd to  Plantation Rd",5006,5005,NB
58119,3410,"PHW, Purnell Rd to St Georges Rd",5006,5007,SB
58120,3411,"PHW, St Georges Rd to Purnell Rd",5007,5006,NB
58121,3412,"Melbourne Rd, St Georges Rd to North Shore Rd",5007,5011,SB
58122,3413,"Melbourne Rd, North Shore Rd to St Georges Rd",5011,5007,NB
58123,3416,"York Rd/Monbulk Rd, Wray Cr to Clegg Rd",989,820,EB
58124,3417,"York Rd/Monbulk Rd, Clegg Rd to Wray Cr",820,989,WB
58125,3418,"McDonalds Rd, High St to Meadow Glen Dr",2773,2978,EB
58126,3419,"McDonalds Rd, Meadow Glen Dr to High St",2978,2773,WB
58127,3420,"McDonalds Rd, Meadow Glen Dr to Ferres Blvd",2978,3897,EB
58128,3421,"McDonalds Rd, Ferres Blvd to Meadow Glen Dr",3897,2978,WB
58129,3422,"Centre Dandenong Rd, Howard Rd to Marcus Rd",3143,3142,SEB
58130,3423,"Centre Dandenong Rd, Marcus Rd to Howard Rd",3142,3143,NWB
58131,3424,"Centre Dandenong Rd, Marcus Rd to Lower Dandenong Rd",3142,944,SEB
58132,3425,"Centre Dandenong Rd, Lower Dandenong Rd to Marcus Rd",944,3142,NWB
58133,3426,"Lower Dandenong Rd, Centre Dandenong Rd to Springvale Rd",944,442,EB
58134,3427,"Lower Dandenong Rd, Springvale Rd to Centre Dandenong Rd",442,944,WB
58135,3428,"Station St, Darebin Rd to Seperation St",3267,3268,SB
58136,3429,"Station St, Seperation St to Darebin Rd",3268,3267,NB
58137,3430,"Station St, Seperation St to Heidelberg Rd",3268,3306,SB
58138,3431,"Station St, Heidelberg Rd to Seperation St",3306,3268,NB
58139,3432,"Seperation St, Grange Rd to Station St",4671,3268,WB
58140,3433,"Seperation St, Station St to Grange Rd",3268,4671,EB
58141,3434,"Seperation St/Arthurton Rd, Station St to St Georges Rd",3268,4668,WB
58142,3435,"Seperation St/Arthurton Rd, St Georges Rd to Station St",4668,3268,EB
58143,3436,"Dynon Rd, Citylink off ramp to Dryburgh St",4487,4518,EB
58144,3437,"Dynon Rd, Dryburgh St to Citylink off ramp",4518,4487,WB
58145,3438,"Spencer St, Dryburgh St to Dudley St",4518,4521,EB
58146,3439,"Spencer St, Dudley St to Dryburgh St",4521,4518,WB
58147,3440,"Dryburgh Rd, Victoria St to Spencer St",4500,4518,SB
58148,3441,"Dryburgh Rd, Spencer St to Victoria St",4518,4500,NB
58149,3442,"Edgars Rd, Metropolitan Ring Rd to Mahoneys Rd",2789,4992,SB
58150,3443,"Edgars Rd, Mahoneys Rd to Metropolitan Ring Rd",4992,2789,NB
58151,3444,"Mahoneys Rd, Edgars Rd to High St",4992,3229,EB
58152,3445,"Mahoneys Rd, High St to Edgars Rd",3229,4992,WB
58153,3446,"Mahoneys Rd, Cheviot Rd to Edgars Rd",3994,4992,EB
58154,3447,"Mahoneys Rd, Edgars Rd to Cheviot Rd",4992,3994,WB
58155,3448,"Settlement Rd, High St to Torquay Rd",5077,5068,EB
58156,3449,"Settlement Rd, Torquay Rd to High St",5068,5077,WB
58157,3450,"Settlement Rd, Torquary Rd to Barwon Heads Rd",5069,5079,NB
58158,3451,"Settlement Rd, Barwon Heads Rd to Torquary Rd",5079,5069,SB
58159,3452,"James Harrison Bridge, Barwon Heads Rd to Fyans St",5079,5023,NB
58160,3453,"James Harrison Bridge, Fyans St to Barwon Heads Rd",5023,5079,SB
58161,3454,"High St/Colac Rd, Settlement to Pioneer Rd",5077,5065,SWB
58162,3455,"High St/Colac Rd, Pioneer Rd to Settlement Rd",5065,5077,NEB
58163,3456,"Aberdeen St, Shannon Ave to LaTrobe Terrace",5302,5018,EB
58164,3457,"Aberdeen St, LaTrobe Terrace to Shannon Ave",5018,5302,WB
58165,3458,"Ryrie St, Gheringhap St to Yarra St",5201,5203,EB
58166,3459,"Ryrie St, Yarra St to Gheringhap St",5203,5201,WB
58167,3460,"Ryrie St, Yarra St to Sydney Pde",5203,5205,EB
58168,3461,"Ryrie St, Sydney Pde to Yarra St",5205,5203,WB
58169,3462,"Mckillop St, Latrobe Terrace to Yarra St",5020,5196,EB
58170,3463,"Mckillop St, Yarra St to La Trobe Terrace",5196,5020,WB
58171,3464,"Mckillop St, Yarra St to Ormond Rd",5196,5207,EB
58172,3465,"Mckillop St, Ormond Rd to Yarra St",5207,5196,WB
58173,3466,"Bellarine Hwy, Wallington-Ocean Gr to Point Lonsdale Rd",5190,5140,SB
58174,3467,"Bellarine Hwy, Point Lonsdale Rd to Wallington-Ocean Gr",5140,5190,NB
58175,3468,"Yarra St, Ryrie St to Mckillop St",5203,5196,SB
58176,3469,"Yarra St, Mckillop St to Ryrie St",5196,5203,NB
58177,3470,"Creswick Rd, Norman St to Howitt St",5879,5878,SB
58178,3471,"Creswick Rd, Howitt St to Norman St",5878,5879,NB
58179,3472,"Howitt St, Creswick Rd to Dowling St",5878,5905,EB
58180,3473,"Howitt St, Dowling St to Creswick Rd",5905,5878,WB
58181,3474,"Howitt St, Dowling St to Gillies St North",5905,5903,EB
58182,3475,"Howitt St, Gillies St North to Dowling St",5903,5905,WB
58183,3476,"Barkly St, Victoria St to Main Rd",5810,5876,SB
58184,3477,"Barkly St, Main Rd to Victoria St",5876,5810,NB
58185,3478,"Skipton St, Grant St to Drummond St South",5951,5881,SB
58186,3479,"Skipton St, Drummond St South to Grant St",5881,5951,NB
58187,3480,"Curlewis Rd, Portarlington Rd to Bellarine Hwy",5116,5194,SB
58188,3481,"Curlewis Rd, Bellarine Hwy to Portarlington Rd",5194,5116,NB
58189,3483,"Hull Rd, Dorset Rd to Manchester Rd",1369,628,SWB
58190,3484,"Hull Rd, Moorolbark Rd to Manchester Rd",1369,118,NEB
58191,3485,"Hull Rd, Mooroolbark Rd to Manchester Rd",118,1369,SWB
58192,3486,"Livingston St, Oriel Rd to Upper Heidelberg Rd",4303,4305,EB
58193,3487,"Livingston St, Upper Heidelberg Rd to Oriel Rd",4305,4303,WB
58194,3488,"Bacchus Marash Rd, Purnell Rd to Cox Rd",5073,5007,SB
58195,3489,"Bacchus Marash Rd, Cox Rd to Purnell Rd",5007,5073,NB
58196,3490,"Purnell Rd, PHW to Bacchus Marsh Rd",5006,5073,WB
58197,3491,"Purnell Rd, Bacchus Marsh Rd to PHW",5073,5006,EB
58198,3492,"Melbourne Rd, PHW to Bell Pde",5013,5015,SB
58199,3493,"Melbourne Rd, Bell Pde to PHW",5015,5013,NB
58200,3494,"Keera St/LaTrobe Terrace, Ryrie St to Glenleith Ave",5018,5016,NB
58201,3495,"Hamilton hwy/Deviation Rd/Aberdeen St, Princes Fwy to Shannon Ave",5138,5302,EB
58202,3496,"Hamilton hwy/Deviation Rd/Aberdeen St, Shannon Ave to Princes Fwy",5302,5138,WB
58203,3497,"Keera St/LaTrobe Terrace, Glenleith Ave to Ryrie St",5016,5018,SB
58204,3498,"Surf Coast Hwy, Pioneer Rd to Feehans Rd",5088,5162,SB
58205,3499,"Surf Coast Hwy, Feehans Rd to Pioneer Rd",5162,5088,NB
58206,3500,"Surf Coast Hwy, Feehans Rd to Beacon Blvd",5162,5248,SB
58207,3501,"Surf Coast Hwy, Beacon Blvd to Feehans Rd",5248,5162,NB
58208,3502,"Mountain Hwy, Dorset Rd to Liverpool Rd",778,1577,EB
58209,3503,"Mountain Hwy, Liverpool Rd to Dorset Rd",1577,778,WB
58210,3504,"Mountain Hwy/Forest Rd/Boronia Rd, Liverpool Rd to Dorset Rd",1577,374,SB
58211,3505,"Mountain Hwy/Forest Rd/Boronia Rd, Dorset Rd to Liverpool Rd",374,1577,NB
58212,2786,"Sneydes Rd, Boardwalk Bvd to Point Cook Rd",31056,31057,EB
58213,2787,"Sneydes Rd, Point Cook Rd to Boardwalk Bvd",31057,31056,WB
58214,3003,"Canterbury Rd, Station St to Elgar Rd",3131,3130,WB
58215,3005,"Canterbury Rd, Middleborough Rd to Station St",3132,3131,WB
58216,3006,"Station St, Maroondah Hwy to Canterbury Rd",2206,3131,SB
58217,3508,PFW Forsyth - Boardwalk Blvd to Forsyth Rd ramp,5273,31058,NB
58218,3509,"Princes Fwy, Broadwalk Blvd to Forsyth Rd ramp",31058,5273,SB
58219,3516,"Blackburn Rd, Coleman Pde to High Street Rd",359,358,NB
58220,3517,"Blackburn Rd, High Street Rd to Coleman Pde",358,359,SB
58221,3518,"Blackburn Rd, High St Rd to Highbury Rd",358,356,NB
58222,3519,"Blackburn Rd, Highbury Rd to High Street Rd",356,358,SB
58223,3520,"High Street Rd, Stephensons Rd to Blackburn Rd",464,358,EB
58224,3521,"High Street Rd, Blackburn Rd to Stephensons Rd",358,464,WB
58225,3522,"High Street Rd, Blackburn Rd to Springvale Rd",358,422,EB
58226,3523,"High Street Rd, Springvale Rd to Blackburn Rd",422,358,WB
58227,3524,"Heatherton Rd, Boundary Rd to Westall Rd",3212,932,EB
58228,3525,"Heatherton Rd, Westall Rd to Boundary Rd",932,3212,WB
58229,3526,"Heatherton Rd, Westtall Rd to Springvale Rd",932,438,EB
58230,3527,"Heatherton Rd, Springvale Rd to Westtall Rd",438,932,WB
58231,3528,"Westall Rd, Dingby Bypass to Heatherton Rd",1701,932,NB
58232,3529,"Westall Rd, Heatherton Rd to Dingby Bypass",932,1701,SB
58233,3530,"Westall Rd, Heatherton Rd to Osborne Ave",932,936,NB
58234,3531,"Westall Rd, Osborne Ave to Heatherton Rd",936,932,SB
58235,3533,"Westall Rd, Centre Rd to Osborne Ave",2956,936,SB
58236,3534,"West Gate Fwy, Grieve Pde Ramp to Millers Rd Ramp IB",2541,2542,EB
58237,3536,"West Gate Fwy, Williamstown Rd to Millers Rd",2522,2523,WB 
58238,3537,"Merri Pde, St Georges Rd to High St",3671,4682,EB
58239,3538,"Merri Pde, High St to St Georges Rd",4682,3671,WB
58240,3539,"West Gate Fwy IB, Millers Rd to Williamstown Rd",2542,3488,EB
58241,3540,"Westgarth St, High St to Heidelberg Rd",4682,1150,EB
58242,3541,"Westgarth St, Heidelberg Rd to High St",1150,4682,WB
58243,3542,"High St, Hoddle St to Westgarth St",4140,4682,NB
58244,3543,"High St, Westgarth St to Hoddle St",4682,4140,SB
58245,3544,"Darebin Rd, Station St to Grange St",3267,4667,EB
58246,3545,"Darebin Rd, Grange St to Station St",4667,3267,WB
58247,3546,"Darebin Rd, Grange St to Oriel Rd",4667,4303,EB
58248,3547,"Darebin Rd, Oriel Rd to Grange St",4303,4667,WB
58249,3548,"Grange St, Seperation St to Darebin Rd",4671,4667,NB
58250,3549,"Grange St, Darebin Rd to Seperation St",4667,4671,SB
58251,3550,"Normanby Ave, St Georges Rd to High St",4660,4661,EB
58252,3551,"Normanby Ave, High St to St Georges Rd",4661,4660,WB
58253,3552,"Elgar Rd, Mont Albert Rd to Canterbury Rd",3922,3130,SB
58254,3553,"Elgar Rd, Canterbury Rd to Mont Albert Rd",3130,3922,NB
58255,3554,"Elgar Rd, Whitehorse Rd to Mont Albert Rd",2203,3922,SB
58256,3555,"Elgar Rd, Mont Albert Rd to Whitehorse Rd",3922,2203,NB
58257,3556,"West Gate Br OB, Todd Rd to Williamstown Rd",1175,2522,WB
58258,3582,"Union Rd, Whiterose Rd to Canterbury Rd",2200,3125,SB
58259,3583,"Union Rd, Canterbury Rd to Whiterose Rd",3125,2200,NB
58260,3584,"Canning St/Cordite Ave, Millitary Rd to Hampstead Rd",2716,2618,EB
58261,3585,"Canning St/Cordite Ave, Hampstead Rd to Millitary Rd",2618,2716,WB
58262,3586,"Rayleigh Rd, Hampstead Rd to Van Ness Ave",2618,4944,EB
58263,3587,"Rayleigh Rd, Van Ness Ave to Hampstead Rd",4944,2618,WB
58264,3588,"Rayleigh Rd, Van Ness Ave to Epsom Rd",4944,4203,EB
58265,3589,"Rayleigh Rd, Epsom Rd to Van Ness Ave",4203,4944,WB
58266,3590,"Hampstead Rd, Mitchell St to Raleigh Rd",4937,2618,NB
58267,3591,"Hampstead Rd, Raleigh Rd to Mitchell St",2618,4937,SB
58268,3592,"Van Ness Ave, Raleigh Rd to Gordon St",4944,2708,SB
58269,3593,"Van Ness Ave, Gordon St to Raleigh  Rd",2708,4944,NB
58270,3594,"Waverley St, Lincoln Rd to Maribyrnong Rd",4198,4203,SB
58271,3595,"Waverley St, Maribyrnong Rd to Lincoln Rd",4203,4198,NB
58272,3596,"Pascoe Vale Rd, Barry Rd to Somerton Rd",3616,2194,NB
58273,3597,"Pascoe Vale Rd, Somerton Rd to Barry Rd",2194,3616,SB
58274,3598,"Somerton Rd, Pascoe Vale Rd to Union Rd",2194,2188,EB
58275,3599,"Somerton Rd, Union Rd to Pascoe Vale Rd",2188,2194,WB
58276,3600,"Somerton Rd, Union Rd to Hume Hwy",2188,2161,EB
58277,3601,"Somerton Rd, Hume Hwy to Union Rd",2161,2188,WB
58278,3602,"Diamond Creek Rd, Greensborough Rd tp St Helenas Rd",2816,3349,SB
58279,3603,"Diamond Creek Rd, St Helenas Rd to Greensborough Rd",3349,2816,NB
58280,3604,"St Helena Rd/Karingal Dr, Diamond Creek Rd to Weidlich Rd",3349,3364,EB
58281,3605,"St Helena Rd/Karingal Dr, Weidlich Rd to Diamond Creek Rd",3364,3349,WB
58282,3606,"Kingsbury Dr, Waterdale Rd to Waiora Rd",4796,4290,EB
58283,3607,"Kingsbury Dr, Waiora Rd to Waterdale Rd",4290,4796,WB
58284,3608,"Wairora Rd, Kingsbury Dr to Southern Rd",4290,4297,SB
58285,3609,"Wairora Rd, Southern Rd to Kingsbury Dr",4297,4290,NB
58286,3610,"Southern Road, Waiora Rd to Waterdale Rd",4297,4296,WB
58287,3611,"Southern Road, Waterdale Rd to Waiora Rd",4296,4297,EB
58288,3612,"Waterdale Rd, Southern Road to Kingsbury Dr",4296,4796,NB
58289,3613,"Waterdale Rd, Kingsbury Dr to Southern Rd",4796,4296,SB
58290,3614,"Waterdale Rd, Bell St to Southern Road",3067,4296,NB
58291,3615,"Waterdale Rd, Southern Road to Bell St",4296,3067,SB
58292,3616,"Bellarine Hwy, Coppards Rd to Moolap Station Rd",5208,5215,EB
58293,3617,"Bellarine Hwy, Moolap Station Rd to Coppards Rd ",5215,5208,WB
58294,3618,"Bellarine Hwy, Moolap Stataion Rd to Melakula Rd",5215,5191,EB
58295,3619,"Bellarine Hwy, Melakula Rd to Moolap Stataion Rd",5191,5215,WB
58296,3620,"Northern Hwy, Springridge Bvd to William St",5169,6214,SB
58297,3621,"Northern Hwy, William St to Springridge Bvd",6214,5169,NB
58298,3622,"High St, William St to Watson St",6214,6333,SB
58299,3623,"High St, Watson St to William St",6333,6214,NB
58300,3624,"Bell St, Albert St to Oriel Rd",3064,3066,EB
58301,3625,"Bell St, Oriel Rd to Albert St",3066,3064,WB
58302,3626,"Bell St, Oriel Rd to Waterdale Rd",3066,3067,EB
58303,3627,"Bell St, Waterdale Rd to Oriel Rd",3067,3066,WB
58304,3628,"Oriel Rd, Banksia St to Bell St",4302,3066,NB
58305,3629,"Oriel Rd, Bell St to Banksia St",3066,4302,SB
58306,3630,"Plenty Rd, McDonalds Rd to Bush Bvd",3946,3242,SB
58307,3631,"Plenty Rd, Bush Bvd to McDonalds Rd",3242,3946,NB
58308,3632,"Plenty Rd, Bush Bvd to Childs Rd",3242,2763,SB
58309,3558,"St Georges Rd, Murray Rd to Bell St",4782,3059,SB
58310,3559,"St Georges Rd, Bell St to Murray Rd",3059,4782,NB
58311,3560,"Plenty Rd, Murray Rd to Bell St",4790,3061,SB
58312,3561,"Plenty Rd, Bell St to Murray Rd",3061,4790,NB
58313,3562,"Murray Rd, Sydney Rd to Elizabeth St",4115,4119,EB
58314,3563,"Murray Rd, Elizabeth St to Sydney Rd",4119,4115,WB
58315,3564,"Murray Rd, Elizabeth St to St Georges Rd",4119,4782,EB
58316,3565,"Murray Rd, St Georges Rd to Elizabeth St",4782,4119,WB
58317,3566,"Murray Rd, Spring St to Plenty Rd",4782,4790,EB
58318,3567,"Murray Rd, Plenty Rd to Spring St",4790,4782,WB
58319,3568,"Lower Heidelberg Rd, Heidelberg Rd to Burton Cr",3311,3313,EB
58320,3569,"Lower Heidelberg Rd, Burton Cr to Heidelberg Rd",3313,3311,WB
58321,3570,"Lower Heidelberg Rd, Burton Cr to Banksia St",3313,3360,NB
58322,3571,"Lower Heidelberg Rd, Banksia St to Burton Cr",3360,3313,SB
58323,3572,"Burke Road (North), Lower Heidelberg Rd to Eastern Fwy ramp",1257,2825,SB
58324,3573,"Burke Road (North), Eastern Fwy ramp to Lower Heidelberg Rd",2825,1257,NB
58325,3574,"Whitehorse Rd, Balwyn Rd to Union Rd ",4063,2200,EB
58326,3575,"Whitehorse Rd, Union Rd to Balwyn Rd",2200,4063,WB
58327,3576,"Whitehorse Rd, Union Rd to Elgar Rd",2200,2203,EB
58328,3577,"Whitehorse Rd, Elgar Rd to Union Rd",2203,2200,WB
58329,3578,"Maroondah Hwy, Elgar Rd to Station St",2203,2206,EB
58330,3579,"Maroondah Hwy, Station St to Elgar Rd",2206,2203,WB
58331,3580,"Elgar Rd, Belmore Rd to Whitehorse Rd",3920,2203,SB
58332,3634,"Market Rd, Wright St to Somerville Rd",4955,2621,SB
58333,3635,"Market Rd, Somerville Rd to Wright St",2621,4955,NB
58334,3636,"Grieve Pde, Princes Hwy to Westgate Fwy On Ramp",2512,2541,SEB
58335,3637,"Grieve Pde, Westgate Fwy On Ramp to Princes Hwy",2541,2512,WNB
